stem,NOT_AI,AI,diff
the,0.6508195898067948,0.5656815411809808,-0.08513804862581398
to,0.36106787473073565,0.3301072150765307,-0.03096065965420497
you,0.10705900769410462,0.08172011089135019,-0.025338896802754432
of,0.3142489934686527,0.288948988672555,-0.02530000479609773
.,0.7019648479253628,0.680558654175104,-0.021406193750258873
a,0.34482611633203325,0.32442526415657086,-0.02040085217546239
have,0.09858060572760365,0.08014449643160669,-0.018436109295996955
we,0.06324843128117762,0.04605830187229577,-0.017190129408881843
’,0.09970064623910974,0.0833676450353401,-0.01633300120376964
your,0.08572866750002485,0.06954971777667462,-0.016178949723350225
our,0.032999700526256615,0.01981400400861416,-0.013185696517642453
that,0.119529803381333,0.10687408214991509,-0.012655721231417907
in,0.2358539182689383,0.2239835344656993,-0.011870383803239015
I,0.054183186523083605,0.04260659312799305,-0.011576593395090554
he,0.032915571832500296,0.021402458963396046,-0.01151311286910425
or,0.06799291493334138,0.0570760466802702,-0.010916868253071178
by,0.06667326452286215,0.056029639158987586,-0.010643625363874566
they,0.04761404056957484,0.037423136430230604,-0.010190904139344238
not,0.04079947140723436,0.03139225126105989,-0.00940722014617447
his,0.024844212469888584,0.015438005106287003,-0.009406207363601581
at,0.05324831385262194,0.043979368565987935,-0.009268945286634002
be,0.3589369979332759,0.34987683098846906,-0.009060166944806824
her,0.014499482029211232,0.00606786063311511,-0.008431621396096121
!,0.019921119820374818,0.012149492428819597,-0.00777162739155522
0,0.01310450925907737,0.005489852953618496,-0.0076146563054588735
if,0.02966873679645785,0.02214368871680553,-0.007525048079652319
home,0.015822277495622098,0.008412560087527558,-0.0074097174080945405
do,0.0284224260022435,0.021100480081319574,-0.007321945920923927
as,0.07551123158975045,0.0684324816420375,-0.007078749947712959
smm,0.0067497555888410875,0.00002864343675747805,-0.006721112152083609
),0.08040243880645728,0.07424979240946766,-0.0061526463969896195
my,0.015502433740388932,0.00937542003883408,-0.006127013701554851
she,0.01091653781665371,0.005040282890252725,-0.0058762549264009855
it,0.0924848719941284,0.08670084660957002,-0.005784025384558383
who,0.01987818421618285,0.014237129545981447,-0.005641054670201403
there,0.01839862497804752,0.012954874481095323,-0.005443750496952197
will,0.04429226420919895,0.039009819146101445,-0.005282445063097503
other,0.022453744696041222,0.017238233365337197,-0.005215511330704026
view,0.010303162438779595,0.005140252115853076,-0.0051629103229265194
out,0.020177207111803326,0.015017540907170316,-0.0051596662046330104
may,0.02094657023630085,0.01580322844687631,-0.005143341789424542
when,0.023728737511113887,0.01861469123129055,-0.005114046279823339
1,0.024624162782799917,0.01957355440529257,-0.005050608377507346
from,0.06166084303230505,0.05666662131464867,-0.004994221717656379
on,0.10282439465257483,0.09783730901698537,-0.004987085635589458
any,0.016775706331064746,0.011794034063544229,-0.004981672267520517
make,0.03548602691526899,0.030711707858035262,-0.004774319057233727
page,0.013664963881175274,0.00891604390640546,-0.004748919974769814
say,0.021591870562064647,0.016846323056700238,-0.004745547505364409
state,0.013537655173332906,0.008822163420149213,-0.004715491753183693
