is_ai,ai_topic,topic,url,host
AI,NOT_AI,WIKI,6027,537
HUMAN,NOT_AI,BLOG,376426,119846
HUMAN,AI,UNKNOWN,189504,19556
AI,AI,WIKI,303,27
UNKNOWN,AI,WIKI,861,115
UNKNOWN,NOT_AI,BLOG,264501,105293
UNKNOWN,AI,SHOP,223,36
AI,NOT_AI,UNKNOWN,1529732,258325
UNKNOWN,NOT_AI,UNKNOWN,7108270,1558169
AI,NOT_AI,NEWS,88746,9349
HUMAN,NOT_AI,NEWS,390833,77115
HUMAN,AI,WIKI,710,138
AI,NOT_AI,BLOG,93700,20794
UNKNOWN,AI,NEWS,12492,883
HUMAN,NOT_AI,WIKI,71488,8036
HUMAN,NOT_AI,SHOP,335928,60379
UNKNOWN,AI,UNKNOWN,138035,19987
UNKNOWN,AI,BLOG,15295,3381
UNKNOWN,NOT_AI,SHOP,73573,18017
AI,NOT_AI,SHOP,11371,1505
HUMAN,NOT_AI,UNKNOWN,15322715,2818284
UNKNOWN,NOT_AI,NEWS,379827,70603
AI,AI,SHOP,145,17
HUMAN,AI,SHOP,930,84
HUMAN,AI,NEWS,12575,539
HUMAN,AI,BLOG,10260,1591
AI,AI,BLOG,14074,2273
AI,AI,NEWS,8320,503
UNKNOWN,NOT_AI,WIKI,50773,6267
AI,AI,UNKNOWN,90315,11000
